DESCRIPTIO,SITE,SITEDESCRI,Category,
PLEQ-Springy-Clown,20853,Luckens Reserve,PLEQ-Springy-Clown,
PLEQ-Springy-Digger-W Side,23654,Major Henry Greens,PLEQ-Springy-Digger-W Side,
PLEQ-Springy-fish,22255,Matheson Bay Reserve,PLEQ-Springy-fish,
PLEQ-Springy-Ladybird-E Side,23654,Major Henry Greens,PLEQ-Springy-Ladybird-E Side,
PLEQ-Springy-Pelican,20853,Luckens Reserve,PLEQ-Springy-Pelican,
PLEQ-Springy-Red,22229,Fernhill Reserve,PLEQ-Springy-Red,
PLEQ-Springy-Whale-Holiday Pk LEASED,11272,Martins Bay Grounds,PLEQ-Springy-Whale-Holiday Pk LEASED,
PLEQ-Springy-Yellow,22229,Fernhill Reserve,PLEQ-Springy-Yellow,
PLEQ-Stairs & Deck to Slide,10930,Wainoni Park North,PLEQ-Stairs & Deck to Slide,
PLEQ-Step'g pods-1st frm Wintere Rd(x13),20283,Wintere Park,PLEQ-Step'g pods-1st frm Wintere Rd(x13),
PLEQ-Step'g pods-2nd frm Wintere Rd(x14),20283,Wintere Park,PLEQ-Step'g pods-2nd frm Wintere Rd(x14),
PLEQ-Step'g pods-3rd frm Wintere Rd(x19),20283,Wintere Park,PLEQ-Step'g pods-3rd frm Wintere Rd(x19),
PLEQ-Step'g pods-4th frm Wintere Rd(x19),20283,Wintere Park,PLEQ-Step'g pods-4th frm Wintere Rd(x19),
PLEQ-Step'g pods-In bush by p/grnd(x134),10467,Omana Regional Park,PLEQ-Step'g pods-In bush by p/grnd(x134),
PLEQ-Steping tiles x 3,22787,John Walker Park,PLEQ-Steping tiles x 3,
PLEQ-Stepping Logs,21368,Hobsonville Point Park,PLEQ-Stepping Logs,
PLEQ-Stepping logs,10619,Walter Massey Park,PLEQ-Stepping logs,
PLEQ-Stepping logs,11115,Opaketai Beach Haven Garden,PLEQ-Stepping logs,
PLEQ-Stepping logs,21651,Boggust Park,PLEQ-Stepping logs,
PLEQ-Stepping logs,21651,Boggust Park,PLEQ-Stepping logs,
PLEQ-Stepping logs to slide,20311,Northboro Reserve,PLEQ-Stepping logs to slide,
PLEQ-Stepping logs-Beside path,20924,Schopolo East,PLEQ-Stepping logs-Beside path,
PLEQ-Stepping logs-Edge of bush (x12),10467,Omana Regional Park,PLEQ-Stepping logs-Edge of bush (x12),
PLEQ-Stepping logs-Nothern edge 29m,20263,Parkhaven Reserve,PLEQ-Stepping logs-Nothern edge 29m,
PLEQ-Stepping logs-Southern edge 15m,20263,Parkhaven Reserve,PLEQ-Stepping logs-Southern edge 15m,
PLEQ-Stepping pods,10167,Fairburn Reserve,PLEQ-Stepping pods,
PLEQ-Stepping pods (x16),10719,William Green Domain,PLEQ-Stepping pods (x16),
PLEQ-Stepping Pods-Top W side,11247,Warkworth Service Centre & Library Grou.,PLEQ-Stepping Pods-Top W side,
PLEQ-Stepping rock-by tube slide,20263,Parkhaven Reserve,PLEQ-Stepping rock-by tube slide,
PLEQ-Steps to Tunnel Slide,11247,Warkworth Service Centre & Library Grou.,PLEQ-Steps to Tunnel Slide,
PLEQ-Supernova,22489,Da Vinci Park,PLEQ-Supernova,
PLEQ-Supernova,22308,Warkworth Showgrounds,PLEQ-Supernova,
PLEQ-Suspended Rope Walk,11247,Warkworth Service Centre & Library Grou.,PLEQ-Suspended Rope Walk,
PLEQ-Swing attach to tree-W of p/grnd,10467,Omana Regional Park,PLEQ-Swing attach to tree-W of p/grnd,
PLEQ-Swing basket,21540,Topland Park,PLEQ-Swing basket,
PLEQ-Swing basket,21429,Sutton Park,PLEQ-Swing basket,
PLEQ-Swing beam,22162,Point Wells Community Centre,PLEQ-Swing beam,
PLEQ-Swing Mixed,22152,Sherwood Reserve,PLEQ-Swing Mixed,
PLEQ-Swing set,10719,William Green Domain,PLEQ-Swing set,
PLEQ-Swing set,21429,Sutton Park,PLEQ-Swing set,
PLEQ-Swing Set,21651,Boggust Park,PLEQ-Swing Set,
PLEQ-Swing set,10167,Fairburn Reserve,PLEQ-Swing set,
PLEQ-Swing set - 1.5 bay,22936,Macadamia Park (Melia Grove Reserve),PLEQ-Swing set - 1.5 bay,
PLEQ-Swing set double bay,10591,Manukau Sports Bowl,PLEQ-Swing set double bay,
PLEQ-Swing set with basket swing,10619,Walter Massey Park,PLEQ-Swing set with basket swing,
PLEQ-Swing set-2 bay,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Swing set-2 bay,
PLEQ-Swing set-2.5 bay,10596,Leabank Park,PLEQ-Swing set-2.5 bay,
PLEQ-Swing set-Eastern most of p/grnd,10467,Omana Regional Park,PLEQ-Swing set-Eastern most of p/grnd,
PLEQ-Swing set-Mid of p/grnd,10467,Omana Regional Park,PLEQ-Swing set-Mid of p/grnd,
PLEQ-Swing single bay,10591,Manukau Sports Bowl,PLEQ-Swing single bay,
PLEQ-Swing Uni-Mid of reserve,20907,Clavoy Park,PLEQ-Swing Uni-Mid of reserve,
PLEQ-Swing Unit,23809,Pollok School Grounds,PLEQ-Swing Unit,
PLEQ-Swing unit,21540,Topland Park,PLEQ-Swing unit,
PLEQ-Swing unit-1.5 bay,20283,Wintere Park,PLEQ-Swing unit-1.5 bay,
PLEQ-Swing Unit-1.5 bay,20434,Yates Park,PLEQ-Swing Unit-1.5 bay,
PLEQ-Swing unit-1.5 bay 3 swings,10687,Mountfort Park,PLEQ-Swing unit-1.5 bay 3 swings,
PLEQ-Swing unit-2 bay 4 swings,10687,Mountfort Park,PLEQ-Swing unit-2 bay 4 swings,
PLEQ-Swing Unit-22000,21308,Anarahi Park,PLEQ-Swing Unit-22000,
PLEQ-Swing Unit-22000,20346,Hudsons Beach Recreation Reserve,PLEQ-Swing Unit-22000,
PLEQ-Swing Unit-22000,10623,Fergusson Oaks Reserve,PLEQ-Swing Unit-22000,
PLEQ-Swing Unit-22000,20233,Derrimore Park,PLEQ-Swing Unit-22000,
PLEQ-Swing Unit-22000,22932,Mcshane Street Reserve,PLEQ-Swing Unit-22000,
PLEQ-Swing Unit-22000,10708,Mervan Street Reserve,PLEQ-Swing Unit-22000,
PLEQ-Swing Unit-22000,10563,Centennial Park - Waiuku,PLEQ-Swing Unit-22000,
PLEQ-Swing Unit-22001,21628,Roundtree Reserve,PLEQ-Swing Unit-22001,
PLEQ-Swing Unit-22001,22989,North Road Reserve,PLEQ-Swing Unit-22001,
PLEQ-Swing Unit-22001,10825,Middlemore Park,PLEQ-Swing Unit-22001,
PLEQ-Swing Unit-22001,22787,John Walker Park,PLEQ-Swing Unit-22001,
PLEQ-Swing Unit-22002,10710,Meadowland Park,PLEQ-Swing Unit-22002,
PLEQ-Swing Unit-22007,20760,Harania/Marys Foreshore Reserve,PLEQ-Swing Unit-22007,
PLEQ-Swing Unit-Double bay,10383,Murphy Park,PLEQ-Swing Unit-Double bay,
PLEQ-Swing-1 1/2 bay swings(May16),24314,Mauku Reserve,PLEQ-Swing-1 1/2 bay swings(May16),
PLEQ-Swing-1 Bay-Jnr,22256,Camelot Reserve,PLEQ-Swing-1 Bay-Jnr,
PLEQ-Swing-1 Bay-Jnr,10927,Onepoto Domain,PLEQ-Swing-1 Bay-Jnr,
PLEQ-Swing-1 Bay-Jnr,10926,Shepherds Park,PLEQ-Swing-1 Bay-Jnr,
PLEQ-Swing-1 Bay-Jnr,22221,Linley Reserve,PLEQ-Swing-1 Bay-Jnr,
PLEQ-Swing-1 Bay-Jnr,11390,Hobsonville War Memorial,PLEQ-Swing-1 Bay-Jnr,
PLEQ-Swing-1 Bay-Jnr,11096,Marlborough Park,PLEQ-Swing-1 Bay-Jnr,
PLEQ-Swing-1 Bay-Jnr,10924,Tui Park,PLEQ-Swing-1 Bay-Jnr,
PLEQ-Swing-1 bay-Jnr-E side,20653,Totara Views Reserve,PLEQ-Swing-1 bay-Jnr-E side,
PLEQ-Swing-1 Bay-Mixed,22294,Lancelot Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20599,Red Beach Park,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22546,Tornado Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22223,Exeter Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20024,Silverdale War Memorial Park,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20413,Brunton Park Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11088,Wairoa Road Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22132,Cadness Loop,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,22367,Te Hana Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20697,Waldorf Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20661,Maygrove Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20051,Huntly Road Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20964,William Souter Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22562,Starlight Park,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22448,Campbells Beach Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11095,Elliott Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,12940,Stredwick Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22524,Connemara Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20053,Parkwood Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22199,Stanaway Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11099,Tamahere Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20749,Jamie Hansen Park,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20856,Taurus Crescent Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11080,Seine Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20291,Lansdowne Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,23516,Whangateau Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21979,Hendrika Court,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,22351,Amanda Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21156,Teviot Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21094,Northcroft Esplanade Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22301,Bluebird Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21152,Target Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22414,Kaipara Crescent Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21976,Shelter Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11222,Bourne Dean Recreation Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21932,Ponderosa Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11138,Kaipatiki Park,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22374,Church Hill Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21968,Sanders Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11201,Huapai Recreation Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22208,Devonshire Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22194,Centorian Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21006,Wanita Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,22445,Baddeleys Beach Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,10936,Collins Park,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22181,Park Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20287,Kiwi Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11302,Manuhiri Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20496,Brandon Reserve - Manly,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20303,Montgomery Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20956,Knightsbridge Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20332,Plymouth Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,11043,Mairangi Bay Beach Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22235,Fields Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20073,Rothesay Bay Beach Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11274,Whangateau Holiday Park Grounds,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20996,Malcolm Hahn Memorial Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,11392,Herald Island Domain,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20695,Marina View Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20076,Hooton Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20602,Rosario Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21147,Takapuna Rose Gardens,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,10925,Stafford Park,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22103,Wharf Reserve - Albany,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22489,Da Vinci Park,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,22074,Bayside Drive,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21090,Nile Reserve (Milford),PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22183,Pemberton Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,10960,Achilles Crescent Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21126,Selwyn Reserve - Forrest Hill,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 bay-Mixed,20539,Regency Park Drive Reserve,PLEQ-Swing-1 bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22148,Pukemateko Reserve Omaha South,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20075,Manuka Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21073,Linwood Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20846,Belle Verde Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22250,Bushlands Park,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,22218,Windy Ridge Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,20815,Celeste Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,21906,Unsworth Reserve,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed,23311,Belmont Rose Gardens,PLEQ-Swing-1 Bay-Mixed,
PLEQ-Swing-1 Bay-Mixed-2 swings Fire Stn,11246,Shelly Beach Reserve,PLEQ-Swing-1 Bay-Mixed-2 swings Fire Stn,
PLEQ-Swing-1 bay-Mixed-3 swings,11296,Edith Hopper Park,PLEQ-Swing-1 bay-Mixed-3 swings,
PLEQ-Swing-1 Bay-Mixed-3 Swings,20888,Jean Sampson Reserve,PLEQ-Swing-1 Bay-Mixed-3 Swings,
PLEQ-Swing-1 bay-Mixed-3 swings,11296,Edith Hopper Park,PLEQ-Swing-1 bay-Mixed-3 swings,
PLEQ-Swing-1 Bay-Mixed-3 Swings,22167,Monarch Park,PLEQ-Swing-1 Bay-Mixed-3 Swings,
PLEQ-Swing-1 Bay-Mixed-3 swings,11263,Victor Eaves Park,PLEQ-Swing-1 Bay-Mixed-3 swings,
PLEQ-Swing-1 Bay-Mixed-3 Swings,22107,Heath Reserve,PLEQ-Swing-1 Bay-Mixed-3 Swings,
PLEQ-Swing-1 Bay-Mixed-3 Swings,22165,Point Wells Foreshore Reserve,PLEQ-Swing-1 Bay-Mixed-3 Swings,
PLEQ-Swing-1 Bay-Mixed-3 Swings,22255,Matheson Bay Reserve,PLEQ-Swing-1 Bay-Mixed-3 Swings,
PLEQ-Swing-1 bay-Mixed-3 swings-HolidayP,11273,Orewa Reserve,PLEQ-Swing-1 bay-Mixed-3 swings-HolidayP,
PLEQ-Swing-1 bay-Mixed-Leisure P/grd,11275,Stanmore Bay Park,PLEQ-Swing-1 bay-Mixed-Leisure P/grd,
PLEQ-Swing-1 bay-Mixed-Nthn Boat,11273,Orewa Reserve,PLEQ-Swing-1 bay-Mixed-Nthn Boat,
PLEQ-Swing-1 Bay-Mixed-Tonkin Dr,11072,Sunnynook Park,PLEQ-Swing-1 Bay-Mixed-Tonkin Dr,
PLEQ-Swing-1 Bay-Snr,22221,Linley Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,22398,Helensville Civic Centre Grounds,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,20372,Kawerau Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,11261,Tapora Recreation Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,22229,Fernhill Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,22668,Millwater Park Playground Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,11210,Shoesmith Domain Recreation Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,22338,Worthington Road Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,10924,Tui Park,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,11390,Hobsonville War Memorial,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,21863,Pin Oak Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,22256,Camelot Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,11058,Okura Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,11096,Marlborough Park,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,20653,Totara Views Reserve,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 Bay-Snr,10931,Rosedale Park,PLEQ-Swing-1 Bay-Snr,
PLEQ-Swing-1 bay-Snr-3 Swings,11205,Riverhead War Memorial Park,PLEQ-Swing-1 bay-Snr-3 Swings,
PLEQ-Swing-1 bay-Snr-Beach,11275,Stanmore Bay Park,PLEQ-Swing-1 bay-Snr-Beach,
PLEQ-Swing-1 Bay&Basket Swing,22304,Bronzewing Reserve,PLEQ-Swing-1 Bay&Basket Swing,
PLEQ-Swing-1 senior-1 safety seat,22360,Sunburst Reserve & Tamatea Espl,PLEQ-Swing-1 senior-1 safety seat,
"PLEQ-Swing-1.5 Bay-2 Senior, 1 Junior",11232,Algies Bay Reserve,"PLEQ-Swing-1.5 Bay-2 Senior, 1 Junior",
PLEQ-Swing-1.5 Bay-Jnr-Jnr area Beach,11275,Stanmore Bay Park,PLEQ-Swing-1.5 Bay-Jnr-Jnr area Beach,
PLEQ-Swing-1.5 bay-Mixed,20447,Aramoana Reserve,PLEQ-Swing-1.5 bay-Mixed,
PLEQ-Swing-1.5 Bay-Mixed,22423,Stillwater Reserve,PLEQ-Swing-1.5 Bay-Mixed,
PLEQ-Swing-1.5 bay-Mixed,10998,Devonport Domain,PLEQ-Swing-1.5 bay-Mixed,
PLEQ-Swing-1.5 bay-Mixed,23654,Major Henry Greens,PLEQ-Swing-1.5 bay-Mixed,
PLEQ-Swing-1.5 Bay-Mixed,12941,Allenby Reserve - Narrow Neck,PLEQ-Swing-1.5 Bay-Mixed,
PLEQ-Swing-1.5 Bay-Mixed,22211,Durbin Reserve,PLEQ-Swing-1.5 Bay-Mixed,
PLEQ-Swing-1.5 Bay-Mixed,10935,Greenhithe War Memorial Park,PLEQ-Swing-1.5 Bay-Mixed,
PLEQ-Swing-1.5 Bay-Mixed,22189,Sapphire Reserve,PLEQ-Swing-1.5 Bay-Mixed,
PLEQ-Swing-1.5 Bay-Mixed,22324,George Deane Place Reserve,PLEQ-Swing-1.5 Bay-Mixed,
PLEQ-Swing-1.5 Bay-Mixed,22474,"Te Moau Rsv & River Espl, Parakai Av",PLEQ-Swing-1.5 Bay-Mixed,
PLEQ-Swing-2 Bay-4seats,22185,Powrie Reserve,PLEQ-Swing-2 Bay-4seats,
PLEQ-Swing-2 Bay-Mixed,22009,Mairangi Bay Village Green,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11211,Wellsford Centennial Park,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11323,Parakai Recreation Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 bay-Mixed,20299,Melrose Reserve,PLEQ-Swing-2 bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22134,William Fraser Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11033,Lindisfarne,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,20853,Luckens Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11290,Wellsford War Memorial Park,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11143,Narrow Neck Beach,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,10932,Meadowood Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,21368,Hobsonville Point Park,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11107,Little Shoal Bay Reserve - Northcote Pt,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11201,Huapai Recreation Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22354,Ariki Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11104,Hinemoa Park,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22197,Spinella Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22308,Warkworth Showgrounds,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22135,Cadness Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22161,Lynn Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11068,Milford Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22512,Christmas Beach,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11298,Harry James Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11064,Bond Reserve - Forrest Hill,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 bay-Mixed,20020,Murrays Bay Beach Reserve,PLEQ-Swing-2 bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,11208,Puhoi Pioneer's Memorial Park Domain,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22649,Bill Moir Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22471,Muriwai Beach Playground (DOC),PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,23515,Alexander Recreation Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22175,Port Albert Wharf Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,20800,Vandeleur Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 bay-Mixed,20518,Manly Park,PLEQ-Swing-2 bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,10930,Wainoni Park North,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,20468,Gulf Harbour Recreation Reserve,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed,22162,Point Wells Community Centre,PLEQ-Swing-2 Bay-Mixed,
PLEQ-Swing-2 Bay-Mixed with tyre,11141,Bayswater Park,PLEQ-Swing-2 Bay-Mixed with tyre,
PLEQ-Swing-2 Bay-Mixed-2 swings,22606,Chatham Hill Reserve,PLEQ-Swing-2 Bay-Mixed-2 swings,
PLEQ-Swing-2 Bay-Mixed-2 swings,11246,Shelly Beach Reserve,PLEQ-Swing-2 Bay-Mixed-2 swings,
PLEQ-Swing-2 Bay-Mixed-Main,11272,Martins Bay Grounds,PLEQ-Swing-2 Bay-Mixed-Main,
PLEQ-Swing-2 Bay-Mixed-Sthn Swing,11273,Orewa Reserve,PLEQ-Swing-2 Bay-Mixed-Sthn Swing,
PLEQ-Swing-2 bay-Mixed-With Tyre,21119,Rewi Alley Reserve,PLEQ-Swing-2 bay-Mixed-With Tyre,
PLEQ-Swing-2 bay-preschool,24041,Lake Town Green,PLEQ-Swing-2 bay-preschool,
PLEQ-Swing-3 Bay-Mixed,20026,Bath Street Reserve,PLEQ-Swing-3 Bay-Mixed,
PLEQ-Swing-3 Bay-Mixed,22237,Sandspit Reserve - Rodney,PLEQ-Swing-3 Bay-Mixed,
PLEQ-Swing-5 Bay-5 swings,22154,Tuna Place Reserve,PLEQ-Swing-5 Bay-5 swings,
PLEQ-Swing-5 Bay-5 Swings-Nthn Boat,11273,Orewa Reserve,PLEQ-Swing-5 Bay-5 Swings-Nthn Boat,
