DESCRIPTIO,SITE,SITEDESCRI,Category,
Fitness Station Rad71,10394,Fowlds Park,Fitness Station,
Fitness Station Rax79,10004,Walker Park,Fitness Station,
Fitness Station Rax81,10004,Walker Park,Fitness Station,
Fitness Station Rax82,10004,Walker Park,Fitness Station,
Fitness Station Rax83,10004,Walker Park,Fitness Station,
Fitness Station Rax84,10004,Walker Park,Fitness Station,
Fitness Station Rax85,10004,Walker Park,Fitness Station,
Fitness Station Rax86,10004,Walker Park,Fitness Station,
Fitness Station Rax87,10004,Walker Park,Fitness Station,
Fitness Station Rax88,10004,Walker Park,Fitness Station,
Fitness Station Ray14,10020,Panmure Basin,Fitness Station,
Fitness Station Ray15,10020,Panmure Basin,Fitness Station,
Fitness Station Ray16,10020,Panmure Basin,Fitness Station,
Fitness Station Ray18,10020,Panmure Basin,Fitness Station,
Fitness Station Ray20,10020,Panmure Basin,Fitness Station,
Fitness Station Ray22,10020,Panmure Basin,Fitness Station,
Fitness Station Ray24,10020,Panmure Basin,Fitness Station,
Fitness Station Rj802,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rpg35,10441,Michaels Avenue Reserve,Fitness Station,
Fitness Station Rpg36,10441,Michaels Avenue Reserve,Fitness Station,
Fitness Station Rpg37,10441,Michaels Avenue Reserve,Fitness Station,
Fitness Station Rpg39,10441,Michaels Avenue Reserve,Fitness Station,
Fitness Station Rpg41,10441,Michaels Avenue Reserve,Fitness Station,
Fitness Station Rpg45,10441,Michaels Avenue Reserve,Fitness Station,
Fitness station Scw27,10155,Grey Lynn Park,Fitness Station,
Fitness Station Scw28,10155,Grey Lynn Park,Fitness Station,
Fitness Station Scw29,10155,Grey Lynn Park,Fitness Station,
Fitness Station Sdk90,10303,Warren Freer Park,Fitness Station,
Fitness Station Sdk91,10303,Warren Freer Park,Fitness Station,
Fitness Station Sit up Bench,10034,May Road War Memorial Park,Fitness Station Sit up Bench,
Fitness Station Step and Reach,10034,May Road War Memorial Park,Fitness Station Step and Reach,
Fitness Station Stepping Poles,10034,May Road War Memorial Park,Fitness Station Stepping Poles,
Fitness Station-Air Walker Dip & Crunch,10107,Eastdale Reserve,Fitness Station Air Walker Dip & Crunch,
Fitness Station-Balance Beam,10368,Blockhouse Bay Recreation Res,Fitness Station Balance Beam,
Fitness Station-Bench Press & Twister,11341,Ranui Domain,Fitness Station Bench Press & Twister,
Fitness Station-Chin Up & Step & Reach,10418,Riversdale Reserve,Fitness Station Chin Up & Step & Reach,
Fitness Station-Chin Up Step Up,10107,Eastdale Reserve,Fitness Station Chin Up Step Up,
Fitness Station-Chin Ups,10431,Craigavon Park,Fitness Station Chin Ups,
Fitness Station-Chin-Up Bars,10368,Blockhouse Bay Recreation Res,Fitness Station-Chin-Up Bars,
Fitness Station-Climbing Wall,10368,Blockhouse Bay Recreation Res,Fitness Station-Climbing Wall,
Fitness Station-Cycle Strider/Stretching,11335,Parrs Park,Fitness Station-Cycle Strider/Stretching,
Fitness Station-Dip and Crunch Station,11435,Te Atatu Peninsula Park,Fitness Station-Dip and Crunch Station,
Fitness Station-Dip Crunch & Cycle,10368,Blockhouse Bay Recreation Res,Fitness Station-Dip Crunch & Cycle,
Fitness Station-Dog Agility Course,10431,Craigavon Park,Fitness Station-Dog Agility Course,
Fitness Station-Horse Rider & Skier,11341,Ranui Domain,Fitness Station-Horse Rider & Skier,
Fitness Station-Horse Rider & Skier,22500,Sherwood Park,Fitness Station-Horse Rider & Skier,
Fitness Station-Leg Press & Sit-up Bench,10368,Blockhouse Bay Recreation Res,Fitness Station-Leg Press & Sit-up Bench,
Fitness Station-Leg Press & Situp Bench,11435,Te Atatu Peninsula Park,Fitness Station-Leg Press & Situp Bench,
Fitness Station-Leg Stretch,10368,Blockhouse Bay Recreation Res,Fitness Station-Leg Stretch,
Fitness Station-Leg Stretch,11366,Ken Maunder Park,Fitness Station-Leg Stretch,
Fitness Station-Leg Stretch,11420,Starling Park,Fitness Station-Leg Stretch,
Fitness Station-Monkey Bars,11366,Ken Maunder Park,Fitness Station-Monkey Bars,
Fitness Station-Monkey Bars,10368,Blockhouse Bay Recreation Res,Fitness Station-Monkey Bars,
Fitness Station-Monkey Bars,10431,Craigavon Park,Fitness Station-Monkey Bars,
Fitness Station-Muscle Blaster,10368,Blockhouse Bay Recreation Res,Fitness Station-Muscle Blaster,
Fitness Station-Parallel Bars,10368,Blockhouse Bay Recreation Res,Fitness Station-Parallel Bars,
Fitness Station-Pole Stretch,11420,Starling Park,Fitness Station-Pole Stretch,
Fitness Station-Pull Down & Cycle,11341,Ranui Domain,Fitness Station-Pull Down & Cycle,
Fitness Station-Pull Down Ex & Rec Cycle,10368,Blockhouse Bay Recreation Res,Fitness Station-Pull Down Ex & Rec Cycle,
Fitness Station-Pull Down Ex/Recum Cycle,11335,Parrs Park,Fitness Station-Pull Down Ex/Recum Cycle,
Fitness Station-Pull Up Bars,11366,Ken Maunder Park,Fitness Station-Pull Up Bars,
Fitness Station-Pulldown Exerciser & Rec,11435,Te Atatu Peninsula Park,Fitness Station-Pulldown Exerciser & Rec,
Fitness Station-Push Up Bar High,11420,Starling Park,Fitness Station-Push Up Bar High,
Fitness Station-Push Up Bar Low,11420,Starling Park,Fitness Station-Push Up Bar Low,
Fitness Station-Push Ups,10431,Craigavon Park,Fitness Station-Push Ups,
Fitness Station-Push-Up Bars,10368,Blockhouse Bay Recreation Res,Fitness Station-Push-Up Bars,
Fitness Station-Shoulder Wheel XTrainer,11341,Ranui Domain,Fitness Station-Shoulder Wheel XTrainer,
Fitness Station-Shoulder Wheels & Cross,22500,Sherwood Park,Fitness Station-Shoulder Wheels & Cross,
Fitness Station-Side Jumps,10431,Craigavon Park,Fitness Station-Side Jumps,
Fitness Station-Side Vaults,10431,Craigavon Park,Fitness Station-Side Vaults,
Fitness Station-Sit Up & Stretch,11366,Ken Maunder Park,Fitness Station-Sit Up & Stretch,
Fitness Station-Sit up Bench & Leg Press,22500,Sherwood Park,Fitness Station-Sit up Bench & Leg Press,
Fitness Station-Sit Up Bench & Leg Press,10418,Riversdale Reserve,Fitness Station-Sit Up Bench & Leg Press,
Fitness Station-Sit Ups,10431,Craigavon Park,Fitness Station-Sit Ups,
Fitness Station-Situp Leg Press,10107,Eastdale Reserve,Fitness Station-Situp Leg Press,
Fitness Station-Skier & Horse Rider,11435,Te Atatu Peninsula Park,Fitness Station-Skier & Horse Rider,
Fitness Station-Skier & Horse Rider,10418,Riversdale Reserve,Fitness Station-Skier & Horse Rider,
Fitness Station-Skier/Horse Rider,11335,Parrs Park,Fitness Station-Skier/Horse Rider,
Fitness Station-Step & Reach & Chin Up,11426,Coletta Esplanade,Fitness Station-Step & Reach & Chin Up,
Fitness Station-Step Ups,10431,Craigavon Park,Fitness Station-Step Ups,
Fitness Station-Steps,10368,Blockhouse Bay Recreation Res,Fitness Station-Steps,
Fitness Station-Stretch & Air Walker,10368,Blockhouse Bay Recreation Res,Fitness Station-Stretch & Air Walker,
Fitness Station-Twister,10107,Eastdale Reserve,Fitness Station-Twister,
Fitness Station-Twister & Vertical Bench,10418,Riversdale Reserve,Fitness Station-Twister & Vertical Bench,
Fitness Station-Twister/Vert Bench Press,11335,Parrs Park,Fitness Station-Twister/Vert Bench Press,
Fitness Station-Uneven Parallel Bars,11420,Starling Park,Fitness Station-Uneven Parallel Bars,
Fitness Station-Uneven Parallel Bars,11420,Starling Park,Fitness Station-Uneven Parallel Bars,
Fitness Station-Vertical Ladder,10368,Blockhouse Bay Recreation Res,Fitness Station-Vertical Ladder,
Fitness Station-Weaving Poles,11366,Ken Maunder Park,Fitness Station-Weaving Poles,
Fitness Station-Weaving Poles,10431,Craigavon Park,Fitness Station-Weaving Poles,
Fitness StationRad47,10356,Western Park - Freemans Bay,Fitness StationRad47,
Fitness StationRax80,10004,Walker Park,Fitness StationRax80,
Fitness StationRay23,10020,Panmure Basin,Fitness StationRay23,
Fitness StationRpg38,10441,Michaels Avenue Reserve,Fitness StationRpg38,
Fitness StationRpg44,10441,Michaels Avenue Reserve,Fitness StationRpg44,
Flying Fox,21798,Okahu Bay Reserve,Flying Fox,
Flying Fox,10048,Heron Park,Flying Fox,
Flying Fox,10116,Little Rangitoto Reserve,Flying Fox,
Flying Fox,10351,Owairaka Park,Flying Fox,
Flying Fox,10362,One Tree Hill Domain,Flying Fox,
Flying Fox,10179,Maungawhau Domain (Mt Eden),Flying Fox,
Flying Fox,10250,Waikowhai Park,Flying Fox,
Flying Fox,10365,Keith Hay Park,Flying Fox,
Flying Fox,10155,Grey Lynn Park,Flying Fox,
Flying Fox,10356,Western Park - Freemans Bay,Flying Fox,
Flying Fox,21803,Wairua Reserve,Flying Fox,
Flying Fox,10050,Coyle Park,Flying Fox,
Flying Fox,10029,Rutherford Reserve,Flying Fox,
